title,fork,stars,watch,recent_time,writer,url
fuel-core,"2,615","58,731",237,"Apr 19, 2024, 12:14 AM GMT+9",FuelLabs,https://github.com/FuelLabs/fuel-core
go-ethereum,"19,345","46,006","2,205","Apr 18, 2024, 4:08 PM GMT+9",ethereum,https://github.com/ethereum/go-ethereum
bitcoinbook,"5,879","22,525","1,067","Jan 29, 2024, 3:49 AM GMT+9",bitcoinbook,https://github.com/bitcoinbook/bitcoinbook
hey,"1,432","22,314",105,"Apr 18, 2024, 3:40 PM GMT+9",heyxyz,https://github.com/heyxyz/hey
solidity,"5,499","22,238",716,"Apr 18, 2024, 3:40 AM GMT+9",ethereum,https://github.com/ethereum/solidity
ethereumbook,"4,783","19,277",581,"Jul 25, 2021, 6:13 AM GMT+9",ethereumbook,https://github.com/ethereumbook/ethereumbook
gun,"1,143","17,772",319,"Apr 16, 2024, 4:42 AM GMT+9",amark,https://github.com/amark/gun
diem,"2,568","16,681",516,"Jun 20, 2023, 4:13 PM GMT+9",diem,https://github.com/diem/diem
fabric,"8,735","15,368",990,"Apr 18, 2024, 10:20 PM GMT+9",hyperledger,https://github.com/hyperledger/fabric
truffle,"2,286","14,009",338,"Sep 22, 2023, 4:42 AM GMT+9",trufflesuite,https://github.com/trufflesuite/truffle
solana,"3,680","12,037",295,"Mar 23, 2024, 5:58 AM GMT+9",solana-labs,https://github.com/solana-labs/solana
full-blockchain-solidity-course-js,"2,722","11,377",221,"Sep 1, 2023, 4:20 AM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
chia-blockchain,"2,006","10,882",322,"Apr 18, 2024, 4:22 AM GMT+9",Chia-Network,https://github.com/Chia-Network/chia-blockchain
full-blockchain-solidity-course-py,"2,876","10,543",247,"Apr 10, 2024, 2:10 PM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
WTF-Solidity,"1,761","10,153",138,"Apr 13, 2024, 4:37 PM GMT+9",AmazingAng,https://github.com/AmazingAng/WTF-Solidity
DeFi-Developer-Road-Map,"1,199","9,427",191,"Mar 17, 2024, 1:20 PM GMT+9",OffcierCia,https://github.com/OffcierCia/DeFi-Developer-Road-Map
monero,"3,044","8,583",495,"Mar 13, 2024, 1:45 AM GMT+9",monero-project,https://github.com/monero-project/monero
substrate,"2,646","8,388",477,"Aug 25, 2023, 5:04 PM GMT+9",paritytech,https://github.com/paritytech/substrate
go-ibax,"6,450","7,883",352,"Apr 11, 2024, 6:42 PM GMT+9",IBAX-io,https://github.com/IBAX-io/go-ibax
tachyon,210,"7,731",53,"Apr 18, 2024, 11:23 PM GMT+9",kroma-network,https://github.com/kroma-network/tachyon
