title,fork,stars,watch,recent_time,writer,url
transformers,"24,703","124,527","1,092","Apr 18, 2024, 10:53 PM GMT+9",huggingface,https://github.com/huggingface/transformers
ailearning,"11,314","38,004","1,682","Mar 4, 2024, 11:15 AM GMT+9",apachecn,https://github.com/apachecn/ailearning
bert,"9,475","36,958","1,000","Mar 12, 2020, 12:19 AM GMT+9",google-research,https://github.com/google-research/bert
HanLP,"9,479","32,263","1,138","Nov 28, 2023, 1:15 PM GMT+9",hankcs,https://github.com/hankcs/HanLP
AI-For-Beginners,"4,951","30,919",385,"Feb 20, 2024, 1:35 PM GMT+9",microsoft,https://github.com/microsoft/AI-For-Beginners
spaCy,"4,278","28,685",555,"Apr 16, 2024, 7:00 PM GMT+9",explosion,https://github.com/explosion/spaCy
datasets,"2,507","18,371",277,"Apr 18, 2024, 8:09 PM GMT+9",huggingface,https://github.com/huggingface/datasets
unilm,"2,364","18,273",294,"Apr 12, 2024, 11:49 AM GMT+9",microsoft,https://github.com/microsoft/unilm
rasa,"4,510","17,928",350,"Mar 22, 2024, 12:05 AM GMT+9",RasaHQ,https://github.com/RasaHQ/rasa
Chinese-LLaMA-Alpaca,"1,774","17,147",182,"Mar 27, 2024, 9:53 AM GMT+9",ymcui,https://github.com/ymcui/Chinese-LLaMA-Alpaca
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,"4,618","17,048",564,"Jan 8, 2024, 1:58 AM GMT+9",ashishpatel26,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
awesome-nlp,"2,557","15,974",608,"Aug 5, 2023, 6:04 PM GMT+9",keon,https://github.com/keon/awesome-nlp
lectures,"3,589","15,589","1,225","Jun 12, 2017, 9:51 PM GMT+9",oxford-cs-deepnlp-2017,https://github.com/oxford-cs-deepnlp-2017/lectures
best-of-ml-python,"2,248","15,298",391,"Apr 12, 2024, 3:08 AM GMT+9",ml-tooling,https://github.com/ml-tooling/best-of-ml-python
gensim,"4,349","15,213",436,"Apr 8, 2024, 12:19 PM GMT+9",piskvorky,https://github.com/piskvorky/gensim
ML-NLP,"4,454","15,111",383,"Feb 4, 2020, 10:19 PM GMT+9",NLP-LOVE,https://github.com/NLP-LOVE/ML-NLP
Awesome-pytorch-list,"2,803","14,924",567,"Jan 25, 2023, 10:52 AM GMT+9",bharathgs,https://github.com/bharathgs/Awesome-pytorch-list
ML-YouTube-Courses,"1,703","14,287",351,"Jan 23, 2024, 12:52 AM GMT+9",dair-ai,https://github.com/dair-ai/ML-YouTube-Courses
nlp-tutorial,"3,870","13,665",289,"Jul 25, 2021, 11:52 PM GMT+9",graykode,https://github.com/graykode/nlp-tutorial
haystack,"1,615","13,561",122,"Apr 13, 2024, 1:04 AM GMT+9",deepset-ai,https://github.com/deepset-ai/haystack
